id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,attack_cat,label
24,0.000005,udp,-,INT,2,0,2058,0,2.000.000.051,254,0,1646400000,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,1029,0,0,0,3,2,2,2,1,3,0,0,0,2,3,0,Normal,0
25,0.000003,udp,-,INT,2,0,286,0,3.333.333.215,254,0,381333312,0,0,0,0.003,0,0,0,0,0,0,0,0,0,0,143,0,0,0,3,2,2,2,1,3,0,0,0,2,3,0,Normal,0
26,0.000007,udp,-,INT,2,0,1500,0,1.428.571.409,254,0,857142848,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,750,0,0,0,2,2,2,2,1,2,0,0,0,2,2,0,Normal,0
27,0.000006,udp,-,INT,2,0,902,0,1.666.666.608,254,0,601333312,0,0,0,0.006,0,0,0,0,0,0,0,0,0,0,451,0,0,0,2,2,2,2,1,2,0,0,0,2,2,0,Normal,0
28,0.000002,udp,-,INT,2,0,1626,0,5.000.000.013,254,0,3252000000,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,813,0,0,0,2,2,1,1,1,1,0,0,0,2,1,0,Normal,0
29,0.000007,udp,-,INT,2,0,364,0,1.428.571.409,254,0,208000000,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,182,0,0,0,3,2,1,1,1,1,0,0,0,2,2,0,Normal,0
30,1.434.166,tcp,-,FIN,10,6,530,268,10.459.041,254,252,2.660.780.029,1.249.506.714,2,1,151.243.111,270.886.813,100.428.699,468.508.156,255,1640845588,177111456,255,0.148966,0.079731,0.069235,53,45,0,0,2,1,1,1,1,1,0,0,0,1,1,0,Normal,0
31,0.000007,udp,-,INT,2,0,730,0,1.428.571.409,254,0,417142848,0,0,0,0.007,0,0,0,0,0,0,0,0,0,0,365,0,0,0,2,2,1,1,1,2,0,0,0,2,2,0,Normal,0
32,1.924.287,tcp,-,FIN,10,8,530,354,8.834.441,254,252,1.983.072.266,1.288.789.062,2,1,213.738.778,261.252,1.312.511.139,399.405.156,255,2214319888,3374287000,255,0.185096,0.095516,0.08958,53,44,0,0,2,1,1,1,1,1,0,0,0,1,1,0,Normal,0
33,2.773.779,tcp,-,FIN,14,8,7954,354,7.570.899,254,252,213.023.457,894.087.097,4,1,213.367.611,381.293.437,1.815.822.943,788.701.375,255,3374744735,1063429159,255,0.144772,0.077744,0.067028,568,44,0,0,1,1,1,1,1,1,0,0,0,2,1,0,Normal,0
34,0.00001,udp,-,INT,2,0,794,0,1.000.000.025,254,0,317600000,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,397,0,0,0,2,2,1,1,1,2,0,0,0,1,2,0,Normal,0
35,1.465.041,tcp,-,FIN,10,8,2516,354,1.160.377,254,252,1.236.825.391,16.927.854,2,1,157.703.444,195.494.719,8.764.724.091,346.639.313,255,783227300,772078300,255,0.221146,0.09657,0.124576,252,44,0,0,4,1,2,1,1,3,0,0,0,2,2,0,Normal,0
36,0.983874,tcp,http,FIN,10,8,816,1172,17.278.635,62,252,5.976.375,834.253.125,2,2,109.319.333,124.932.859,5.929.211.713,192.590.406,255,794167371,1624757001,255,0.206572,0.108393,0.098179,82,147,1,184,2,1,1,1,1,2,0,0,1,1,3,0,Normal,0
37,0.714182,tcp,-,FIN,10,6,534,268,21.003.049,254,252,5.387.982.422,2.509.164.307,2,1,79.353.556,120.191.398,4.013.392.196,218.658.469,255,3802396535,2514907206,255,0.162097,0.079909,0.082188,53,45,0,0,3,1,1,1,1,2,0,0,0,2,2,0,Normal,0
38,59.995.674,arp,-,INT,2,0,92,0,0.016668,0,0,6.133.776,0,0,0,59.998.196,0,13.651.471,0,0,0,0,0,0,0,0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,Normal,0
39,59.995.678,arp,-,INT,2,0,92,0,0.016668,0,0,6.133.775,0,0,0,59998.2,0,0,0,0,0,0,0,0,0,0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,Normal,0
40,59.995.674,arp,-,INT,2,0,92,0,0.016668,0,0,6.133.776,0,0,0,59.998.196,0,13.651.471,0,0,0,0,0,0,0,0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,Normal,0
41,1.535.254,tcp,http,FIN,10,10,826,1266,12.375.802,62,252,3.876.882.812,5.940.385.254,2,2,170.481.889,159.070.562,119.330.656,244.118.016,255,708428911,3141441573,255,0.180318,0.103612,0.076706,83,127,1,187,2,1,1,1,1,2,0,0,1,1,3,0,Normal,0
42,59.995.678,arp,-,INT,2,0,92,0,0.016668,0,0,6.133.775,0,0,0,59998.2,0,0,0,0,0,0,0,0,0,0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,Normal,0
43,0.757295,tcp,-,FIN,10,6,534,268,1.980.734,254,252,5.081.243.164,2.366.316.895,2,1,84.023.333,123.799.203,4.064.836.863,186.487.812,255,1416292821,1856664256,255,0.226895,0.138291,0.088604,53,45,0,0,3,1,1,1,1,2,0,0,0,1,2,0,Normal,0
44,0.759306,tcp,-,FIN,10,8,534,354,22.388.865,254,252,5.067.785.645,3.266.140.381,2,1,84.242.667,98.501.711,4.716.886.723,140.050.609,255,2545019062,3292860217,255,0.172317,0.069791,0.102526,53,44,0,0,5,1,1,1,1,3,0,0,0,1,3,0,Normal,0
45,1.294.036,tcp,-,FIN,10,8,2516,354,13.137.192,254,252,1.400.270.117,1.916.484.497,2,1,143.781.778,173.331.141,9.390.189.727,257.271.375,255,1381018516,1985881197,255,0.135361,0.079802,0.055559,252,44,0,0,2,1,1,1,1,2,0,0,0,1,3,0,Normal,0
46,1.059.359,tcp,http,FIN,10,8,830,1134,16.047.441,62,252,5.641.147.461,7.498.874.512,2,2,117.706.556,132.899.281,6.102.668.305,255.756.219,255,1853677305,1202418679,255,0.274887,0.128459,0.146428,83,142,1,165,1,1,1,1,1,1,0,0,1,3,1,0,Normal,0
47,0.624048,tcp,-,FIN,10,6,534,268,24.036.613,254,252,6.166.192.383,2.871.573.975,2,1,69.229.667,106.834.797,3.412.856.309,145.655.875,255,2425182602,2706975732,255,0.221323,0.089865,0.131458,53,45,0,0,5,1,1,1,1,3,0,0,0,1,3,0,Normal,0
48,1.190.292,tcp,-,FIN,10,8,2516,354,1.428.221,254,252,1.522.315.527,2.083.522.461,2,1,132.107.111,154.911.719,8.972.551.926,220.423.188,255,3033763933,3509078729,255,0.195284,0.105903,0.089381,252,44,0,0,2,1,1,1,1,2,0,0,0,1,3,0,Normal,0
49,0.999472,tcp,-,FIN,10,6,534,268,15.007.924,254,252,3.850.032.715,1.792.946.655,2,1,110.960.333,178.405.406,6.141.458.662,306.944.813,255,2868770840,4280658180,255,0.266426,0.107439,0.158987,53,45,0,0,5,1,1,1,1,3,0,0,0,2,3,0,Normal,0
50,0.990548,tcp,http,FIN,10,10,804,1414,19.181.301,62,252,5.847.268.066,1.028.117.773,2,2,110.060.889,100.616.555,7.172.956.819,143.497.953,255,1528762476,1066585482,255,0.181441,0.084249,0.097192,80,141,1,261,2,1,18,1,1,2,0,0,1,1,2,0,Normal,0
51,0.655618,tcp,-,FIN,10,6,534,268,22.879.176,254,252,5.869.271.484,2.733.298.828,2,1,69.326,107.047,3.518.358.106,160.930.422,255,740536776,1008520884,255,0.199328,0.120374,0.078954,53,45,0,0,2,1,1,1,1,2,0,0,0,1,2,0,Normal,0
52,0.810167,tcp,-,FIN,10,8,2516,354,20.983.328,254,252,2.236.575.781,3.061.097.168,2,1,83.946.222,9.896.643,5.467.042.547,158.574.391,255,811780886,2226389848,255,0.21379,0.117396,0.096394,252,44,0,0,17,1,1,1,1,3,0,0,0,1,3,0,Normal,0
53,14.846.565,tcp,-,REQ,22,0,990,0,1.414.469,254,0,509.208.679,0,21,0,706.979.312,0,965.398.187,0,255,0,0,0,0,0,0,45,0,0,0,17,6,4,3,3,14,0,0,0,3,15,0,Normal,0
54,14.846.565,tcp,-,REQ,22,0,990,0,1.414.469,254,0,509.208.679,0,21,0,706.979.312,0,965.398.187,0,255,0,0,0,0,0,0,45,0,0,0,17,6,4,3,3,14,0,0,0,3,15,0,Normal,0
55,14.846.565,tcp,-,REQ,22,0,990,0,1.414.469,254,0,509.208.679,0,21,0,706.979.312,0,965.398.187,0,255,0,0,0,0,0,0,45,0,0,0,17,6,4,3,3,14,0,0,0,3,15,0,Normal,0
56,1.588.788,tcp,-,FIN,10,6,534,268,9.441.159,254,252,2.421.971.924,1.127.903.809,2,1,173.193,301.393.594,1.138.844.841,541.030.062,255,3086844008,3257523641,255,0.153274,0.081819,0.071455,53,45,0,0,2,1,1,1,1,2,0,0,0,2,2,0,Normal,0
57,1.151.373,tcp,-,FIN,10,8,2516,354,1.476.498,254,252,1.573.773.145,2.153.949.951,2,1,123.646.778,144.751.719,817.213.149,198.059.172,255,531787453,1249086836,255,0.24447,0.13811,0.10636,252,44,0,0,17,1,1,1,1,3,0,0,0,10,3,0,Normal,0
58,14.355.273,tcp,-,REQ,20,0,900,0,1.323.555,254,0,47.647.995,0,19,0,755.540.687,0,10.954.585,0,255,0,0,0,0,0,0,45,0,0,0,17,6,9,3,3,14,0,0,0,10,15,0,Normal,0
59,14.355.273,tcp,-,REQ,20,0,900,0,1.323.555,254,0,47.647.995,0,19,0,755.540.687,0,10.954.585,0,255,0,0,0,0,0,0,45,0,0,0,17,6,9,3,3,14,0,0,0,10,15,0,Normal,0
60,14.355.273,tcp,-,REQ,20,0,900,0,1.323.555,254,0,47.647.995,0,19,0,755.540.687,0,10.954.585,0,255,0,0,0,0,0,0,45,0,0,0,17,6,9,3,3,14,0,0,0,10,15,0,Normal,0
61,1.553.235,tcp,-,REQ,20,0,900,0,1.223.253,254,0,440.371.246,0,19,0,817.492.125,0,129.416.175,0,255,0,0,0,0,0,0,45,0,0,0,17,6,9,3,3,14,0,0,0,10,15,0,Normal,0
62,15.590.977,tcp,-,REQ,20,0,900,0,1.218.654,254,0,438.715.302,0,19,0,82.057.775,0,130.185.075,0,255,0,0,0,0,0,0,45,0,0,0,17,6,9,3,3,14,0,0,0,10,15,0,Normal,0
63,1.553.235,tcp,-,REQ,20,0,900,0,1.223.253,254,0,440.371.246,0,19,0,817.492.125,0,129.416.175,0,255,0,0,0,0,0,0,45,0,0,0,17,6,9,3,3,14,0,0,0,10,15,0,Normal,0
64,1.553.235,tcp,-,REQ,20,0,900,0,1.223.253,254,0,440.371.246,0,19,0,817.492.125,0,129.416.175,0,255,0,0,0,0,0,0,45,0,0,0,17,6,9,3,3,14,0,0,0,10,15,0,Normal,0
65,15.590.977,tcp,-,REQ,20,0,900,0,1.218.654,254,0,438.715.302,0,19,0,82.057.775,0,130.185.075,0,255,0,0,0,0,0,0,45,0,0,0,17,6,9,3,3,14,0,0,0,10,15,0,Normal,0
66,15.590.977,tcp,-,REQ,20,0,900,0,1.218.654,254,0,438.715.302,0,19,0,82.057.775,0,130.185.075,0,255,0,0,0,0,0,0,45,0,0,0,17,6,9,3,3,14,0,0,0,10,15,0,Normal,0
67,1.074.494,tcp,-,FIN,10,8,2516,354,15.821.401,254,252,1.686.375.195,2.308.063.232,2,1,119.388.222,135.148,7.733.705.204,189.958.375,255,2795605829,1134397635,255,0.22157,0.127886,0.093684,252,44,0,0,17,1,1,1,1,3,0,0,0,3,3,0,Normal,0
68,15.979.696,tcp,-,REQ,18,0,810,0,106.385,254,0,382.985.992,0,17,0,939.982.125,0,16.305.805,0,255,0,0,0,0,0,0,45,0,0,0,17,6,2,1,1,14,0,0,0,3,15,0,Normal,0
69,15.226.356,tcp,-,REQ,18,0,810,0,1.116.485,254,0,401.934.662,0,17,0,895.668,0,1.477.873.125,0,255,0,0,0,0,0,0,45,0,0,0,17,6,2,1,1,14,0,0,0,3,15,0,Normal,0
70,15.979.696,tcp,-,REQ,18,0,810,0,106.385,254,0,382.985.992,0,17,0,939.982.125,0,16.305.805,0,255,0,0,0,0,0,0,45,0,0,0,18,6,4,2,2,17,0,0,0,4,17,0,Normal,0
71,15.226.356,tcp,-,REQ,18,0,810,0,1.116.485,254,0,401.934.662,0,17,0,895.668,0,1.477.873.125,0,255,0,0,0,0,0,0,45,0,0,0,18,6,4,2,2,17,0,0,0,4,17,0,Normal,0
72,15.979.696,tcp,-,REQ,18,0,810,0,106.385,254,0,382.985.992,0,17,0,939.982.125,0,16.305.805,0,255,0,0,0,0,0,0,45,0,0,0,18,6,4,2,2,17,0,0,0,4,17,0,Normal,0
73,1.303.518,tcp,http,FIN,12,8,898,1120,14.575.939,62,252,5.057.083.984,6.014.492.676,2,2,118.501.635,175.467,6.491.561.713,252.408.328,255,1182907296,802589817,255,0.140062,0.07451,0.065552,75,140,1,157,1,1,1,1,1,1,0,0,1,2,1,0,Normal,0
74,15.226.356,tcp,-,REQ,18,0,810,0,1.116.485,254,0,401.934.662,0,17,0,895.668,0,1.477.873.125,0,255,0,0,0,0,0,0,45,0,0,0,18,6,4,2,2,17,0,0,0,4,17,0,Normal,0
75,15.374.568,tcp,-,REQ,16,0,720,0,0.975637,254,0,35.122.937,0,15,0,1.024.971.188,0,1.831.659.375,0,255,0,0,0,0,0,0,45,0,0,0,18,6,3,3,3,17,0,0,0,3,17,0,Normal,0
76,15.374.568,tcp,-,REQ,16,0,720,0,0.975637,254,0,35.122.937,0,15,0,1.024.971.188,0,1.831.659.375,0,255,0,0,0,0,0,0,45,0,0,0,18,6,3,3,3,17,0,0,0,3,17,0,Normal,0
77,15.374.568,tcp,-,REQ,16,0,720,0,0.975637,254,0,35.122.937,0,15,0,1.024.971.188,0,1.831.659.375,0,255,0,0,0,0,0,0,45,0,0,0,18,6,3,3,3,17,0,0,0,3,17,0,Normal,0
78,0.582389,tcp,-,FIN,10,6,534,268,25.755.981,254,252,6.607.267.578,3.076.981.201,2,1,64.699.778,96.684.398,3.507.093.149,155.981.016,255,4226419251,1222508038,255,0.178731,0.098958,0.079773,53,45,0,0,3,1,1,1,1,2,0,0,0,1,2,0,Normal,0
79,16.448.053,tcp,-,REQ,14,0,630,0,0.790367,254,0,284.532.166,0,13,0,1.265.234.875,0,2435.79,0,255,0,0,0,0,0,0,45,0,0,0,18,6,9,3,3,17,0,0,0,10,17,0,Normal,0
80,1.676.671,tcp,-,REQ,14,0,630,0,0.775346,254,0,279.124.512,0,13,0,1.289.747,0,25.086.645,0,255,0,0,0,0,0,0,45,0,0,0,18,6,9,3,3,17,0,0,0,10,17,0,Normal,0
81,1.676.671,tcp,-,REQ,14,0,630,0,0.775346,254,0,279.124.512,0,13,0,1.289.747,0,25.086.645,0,255,0,0,0,0,0,0,45,0,0,0,18,6,9,3,3,17,0,0,0,10,17,0,Normal,0
82,1.540.279,tcp,-,REQ,14,0,630,0,0.844003,254,0,303.841.064,0,13,0,1184.83,0,21.884.775,0,255,0,0,0,0,0,0,45,0,0,0,18,6,9,3,3,17,0,0,0,10,17,0,Normal,0
83,16.448.053,tcp,-,REQ,14,0,630,0,0.790367,254,0,284.532.166,0,13,0,1.265.234.875,0,2435.79,0,255,0,0,0,0,0,0,45,0,0,0,18,6,9,3,3,17,0,0,0,10,17,0,Normal,0
84,2.462.774,tcp,-,FIN,10,8,2516,354,6.902.785,254,252,7.357.556.641,1.006.994.507,2,1,273.641.556,328.576.719,1.742.554.618,481.345.844,255,3840327893,3548556327,255,0.2792,0.162075,0.117125,252,44,0,0,18,1,1,1,1,1,0,0,0,10,1,0,Normal,0
85,1.047.169,tcp,-,FIN,10,8,534,354,16.234.247,254,252,3.674.669.678,2.368.290.283,2,1,116.352.111,132.691.281,7.064.833.854,172.447.047,255,3922662296,186468384,255,0.171522,0.11764,0.053882,53,44,0,0,3,1,1,1,1,2,0,0,0,2,2,0,Normal,0
86,1.676.671,tcp,-,REQ,14,0,630,0,0.775346,254,0,279.124.512,0,13,0,1.289.747,0,25.086.645,0,255,0,0,0,0,0,0,45,0,0,0,18,6,9,3,3,17,0,0,0,10,17,0,Normal,0
87,16.448.053,tcp,-,REQ,14,0,630,0,0.790367,254,0,284.532.166,0,13,0,1.265.234.875,0,2435.79,0,255,0,0,0,0,0,0,45,0,0,0,18,6,9,3,3,17,0,0,0,10,17,0,Normal,0
88,1.540.279,tcp,-,REQ,14,0,630,0,0.844003,254,0,303.841.064,0,13,0,1184.83,0,21.884.775,0,255,0,0,0,0,0,0,45,0,0,0,18,6,9,3,3,17,0,0,0,10,17,0,Normal,0
89,1.540.279,tcp,-,REQ,14,0,630,0,0.844003,254,0,303.841.064,0,13,0,1184.83,0,21.884.775,0,255,0,0,0,0,0,0,45,0,0,0,18,6,9,3,3,17,0,0,0,10,17,0,Normal,0
90,2.417.396,tcp,http,FIN,12,10,896,1142,8.687.033,62,252,2.720.282.471,3.402.007.568,2,2,219.671.639,251.911.219,1.331.812.168,368.903.437,255,1647371567,938705912,255,0.301504,0.150194,0.15131,75,114,1,126,1,1,2,1,1,1,0,0,1,1,1,0,Normal,0
91,16.044.233,tcp,-,REQ,12,0,540,0,0.685605,254,0,246.817.657,0,11,0,145.856.675,0,2.845.959,0,255,0,0,0,0,0,0,45,0,0,0,8,6,5,2,2,7,0,0,0,5,8,0,Normal,0
92,16.352.577,tcp,-,REQ,12,0,540,0,0.672677,254,0,242.163.666,0,11,0,1.486.598,0,29.340.635,0,255,0,0,0,0,0,0,45,0,0,0,8,6,5,3,3,7,0,0,0,5,8,0,Normal,0
93,16.044.233,tcp,-,REQ,12,0,540,0,0.685605,254,0,246.817.657,0,11,0,145.856.675,0,2.845.959,0,255,0,0,0,0,0,0,45,0,0,0,18,6,2,1,1,17,0,0,0,1,17,0,Normal,0
94,16.352.577,tcp,-,REQ,12,0,540,0,0.672677,254,0,242.163.666,0,11,0,1.486.598,0,29.340.635,0,255,0,0,0,0,0,0,45,0,0,0,8,6,5,3,3,7,0,0,0,5,8,0,Normal,0
95,16.352.577,tcp,-,REQ,12,0,540,0,0.672677,254,0,242.163.666,0,11,0,1.486.598,0,29.340.635,0,255,0,0,0,0,0,0,45,0,0,0,8,6,5,3,3,7,0,0,0,5,8,0,Normal,0
96,16.044.233,tcp,-,REQ,12,0,540,0,0.685605,254,0,246.817.657,0,11,0,145.856.675,0,2.845.959,0,255,0,0,0,0,0,0,45,0,0,0,8,6,5,2,2,7,0,0,0,5,8,0,Normal,0
97,0.664512,tcp,-,FIN,10,6,534,268,22.572.957,254,252,579.071.582,269.671.582,2,1,69.994.778,114.784.602,3.565.853.629,166.495,255,2600388172,623342715,255,0.148054,0.090584,0.05747,53,45,0,0,5,1,1,1,1,3,0,0,0,2,3,0,Normal,0
98,0.860208,tcp,-,FIN,10,6,534,268,17.437.643,254,252,4.473.336.914,2.083.217.041,2,1,95.474.667,156.240.203,4.650.146.095,225.094.078,255,2537299422,4130059309,255,0.16717,0.079005,0.088165,53,45,0,0,5,1,1,1,1,3,0,0,0,1,3,0,Normal,0
99,15.102.544,tcp,-,REQ,10,0,450,0,0.595926,254,0,214.533.401,0,9,0,16.780.605,0,360.172.875,0,255,0,0,0,0,0,0,45,0,0,0,11,6,2,2,2,11,0,0,0,3,11,0,Normal,0
100,1.979.445,tcp,http,FIN,10,10,810,1228,959.865,62,252,2.946.280.518,4.469.939.941,2,2,219.938.333,211.908,1.467.952.685,514.389.156,255,504743724,17824254,255,0.14109,0.071357,0.069733,81,123,1,168,2,1,1,1,1,2,0,0,1,1,2,0,Normal,0
101,15.102.544,tcp,-,REQ,10,0,450,0,0.595926,254,0,214.533.401,0,9,0,16.780.605,0,360.172.875,0,255,0,0,0,0,0,0,45,0,0,0,11,6,2,2,2,11,0,0,0,3,11,0,Normal,0
102,1.763.225,tcp,-,FIN,10,8,2516,354,9.641.424,254,252,1.027.662.402,1.406.513.672,2,1,193.716.111,229.543.281,1.134.230.539,425.373.531,255,732537965,857310543,255,0.228211,0.156418,0.071793,252,44,0,0,8,1,1,1,1,1,0,0,0,3,1,0,Normal,0
103,0.651652,tcp,-,FIN,10,6,534,268,23.018.422,254,252,5.904.992.188,2.749.934.082,2,1,68.209.889,112.848.203,3.503.393.362,172.291.953,255,573378078,3844895218,255,0.191544,0.087402,0.104142,53,45,0,0,5,1,1,1,1,3,0,0,0,1,3,0,Normal,0
104,15.684.376,tcp,-,REQ,10,0,450,0,0.573819,254,0,206.575.012,0,9,0,17.427.085,0,37.735.005,0,255,0,0,0,0,0,0,45,0,0,0,8,6,2,2,2,7,0,0,0,3,8,0,Normal,0
105,15.684.376,tcp,-,REQ,10,0,450,0,0.573819,254,0,206.575.012,0,9,0,17.427.085,0,37.735.005,0,255,0,0,0,0,0,0,45,0,0,0,8,6,2,2,2,7,0,0,0,3,8,0,Normal,0
106,15.008.936,tcp,-,REQ,8,0,360,0,0.466389,254,0,167.899.979,0,7,0,214.413.375,0,43.939.205,0,255,0,0,0,0,0,0,45,0,0,0,11,6,2,2,2,11,0,0,0,2,11,0,Normal,0
107,15.008.936,tcp,-,REQ,8,0,360,0,0.466389,254,0,167.899.979,0,7,0,214.413.375,0,43.939.205,0,255,0,0,0,0,0,0,45,0,0,0,11,6,2,2,2,11,0,0,0,2,11,0,Normal,0
108,115.935,tcp,-,FIN,10,8,534,354,14.663.388,254,252,3.319.101.074,2.139.129.639,2,1,122.448.111,153.663.141,8.652.007.826,198.409.875,255,1859843698,1145592012,255,0.153635,0.083699,0.069936,53,44,0,0,3,1,1,1,1,2,0,0,0,1,2,0,Normal,0
109,16.131.804,tcp,-,REQ,8,0,360,0,0.433925,254,0,156.213.165,0,7,0,230.454.325,0,4.770.138,0,255,0,0,0,0,0,0,45,0,0,0,11,6,2,2,2,11,0,0,0,2,11,0,Normal,0
110,16.131.804,tcp,-,REQ,8,0,360,0,0.433925,254,0,156.213.165,0,7,0,230.454.325,0,4.770.138,0,255,0,0,0,0,0,0,45,0,0,0,11,6,2,2,2,11,0,0,0,2,11,0,Normal,0
