id;tuits_ideas;#palabras;#longitud_ideas_tuits;tuit_o_idea;#etiquetadores;conoce_fuente;hecho_prom;contraar_prom;opinion_prom;argumento_prom;hecho_sum;contraar_sum;opinion_sum;argumento_sum;#menciones;#hashtags;#urls;replies_count;retweets_count;likes_count;reply_to
21;Su trabajo efectivo ha logrado el éxito en la mayoría de sus misiones;13;69;0;3;0;0.00;0.00;0.50;4.00;0.00;0.00;0.50;2.00;0;0;0;0;0;0;1
22;Entrenando Krav Maga a la unidad élite de la Policía Nacional del Ecuador UNASE Unidad Nacional Antisecuestro y Extorsión, su misión rescatar y salvar vidas de la delincuencia;28;175;0;2;0;4.00;0.00;0.00;1.33;2.00;0.00;0.00;4.67;0;0;0;0;0;0;1
23;Entrenando Krav Maga a la unidad élite de la Policía Nacional del Ecuador UNASE Unidad Nacional Antisecuestro y Extorsión, su misión rescatar y salvar vidas de la delincuencia. Su trabajo efectivo ha logrado el éxito en la mayoría de sus misiones. @PoliciaEcuador https://t.co/8JV82ZO8cv;43;287;0;2;0;4.50;0.00;0.50;2.00;0.50;0.00;0.50;6.00;1;0;1;0;0;0;1
24;@lahistoriaec Otro que es de ese grupo de delincuencia organizada y narcopolitica;12;81;0;2;1;0.00;0.50;5.00;0.00;0.00;0.50;0.00;0.00;1;0;0;0;0;0;2
25;@lahistoriaec Otro que es de ese grupo de delincuencia organizada y narcopolitica;12;81;0;1;0;0.00;0.00;4.00;3.00;0.00;0.00;0.00;0.00;1;0;0;0;0;0;2
26;@lahistoriaec Tanta delincuencia en una sola foto.;7;50;1;2;1;1.50;0.00;4.50;1.50;4.50;0.00;0.50;0.50;1;0;0;0;0;0;2
27;@lahistoriaec Tanta delincuencia en una sola foto.;7;50;1;1;0;2.00;0.00;5.00;0.00;0.00;0.00;0.00;0.00;1;0;0;0;0;0;2
28;@marcelaholguin @UBA_Quito Y para cuándo la asamblea se preocupará por la delincuencia que se vive todos los días? La droga, para cuándo????;22;140;0;1;1;1.00;0.00;3.00;1.00;0.00;0.00;0.00;0.00;2;0;0;0;0;0;3
29;@marcelaholguin @UBA_Quito Y para cuándo la asamblea se preocupará por la delincuencia que se vive todos los días? La droga, para cuándo????;22;140;0;2;1;1.00;0.00;5.00;0.00;2.00;0.00;0.00;0.00;2;0;0;0;0;0;3
30;@marcelaholguin @UBA_Quito Y para cuándo la asamblea se preocupará por la delincuencia que se vive todos los días? La droga, para cuándo????;22;140;0;1;0;4.00;0.00;2.00;0.00;0.00;0.00;0.00;0.00;2;0;0;0;0;0;3
31;@EvarristhoDon Estas ratas no pueden vivir en paz después de destruir el país. Que devuelva la plata mal ganada y que parece que no sabe ni administrar. Delincuencia organizada y narcopolitica;31;192;1;2;1;0.50;0.00;5.00;1.00;0.50;0.00;0.00;2.00;1;0;0;0;0;0;2
32;@EvarristhoDon Estas ratas no pueden vivir en paz después de destruir el país. Que devuelva la plata mal ganada y que parece que no sabe ni administrar. Delincuencia organizada y narcopolitica;31;192;1;1;0;2.00;0.00;5.00;4.00;0.00;0.00;0.00;0.00;1;0;0;0;0;0;2
33;Delincuencia organizada y narcopolitica;4;39;0;2;1;1.00;0.00;4.00;1.00;2.00;0.00;2.00;2.00;0;0;0;0;0;0;2
34;@EvarristhoDon Estas ratas no pueden vivir en paz después de destruir el país;13;77;0;2;1;0.50;0.00;4.50;0.50;0.50;0.00;0.50;0.50;1;0;0;0;0;0;2
35;Que devuelva la plata mal ganada y que parece que no sabe ni administrar;14;72;0;2;1;0.50;0.00;4.50;1.00;0.50;0.00;0.50;2.00;0;0;0;0;0;0;2
36;Delincuencia organizada y narcopolitica;4;39;0;1;0;0.00;0.00;5.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;2
37;@EvarristhoDon Estas ratas no pueden vivir en paz después de destruir el país;13;77;0;1;0;0.00;0.00;5.00;0.00;0.00;0.00;0.00;0.00;1;0;0;0;0;0;2
38;Que devuelva la plata mal ganada y que parece que no sabe ni administrar;14;72;0;1;0;0.00;0.00;5.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;2
39;@revistavistazo Las terribles consecuencias de 14 años de correismo, no solo robaron y destruyeron al país, cambiaron los valores de manera que la delincuencia es bien vista y justificada. Las torceduras de este país que llaman a lo bueno malo y a lo malo;44;255;1;2;1;1.00;0.00;4.50;1.50;2.00;0.00;0.50;0.50;1;0;0;3;4;10;2
40;@revistavistazo Las terribles consecuencias de 14 años de correismo, no solo robaron y destruyeron al país, cambiaron los valores de manera que la delincuencia es bien vista y justificada. Las torceduras de este país que llaman a lo bueno malo y a lo malo;44;255;1;1;0;3.00;0.00;3.00;4.00;0.00;0.00;0.00;0.00;1;0;0;3;4;10;2
41;Las torceduras de este país que llaman a lo bueno malo y a lo malo;15;66;0;2;1;0.50;0.00;4.00;0.00;0.50;0.00;2.00;0.00;0;0;0;3;4;10;2
42;@revistavistazo Las terribles consecuencias de 14 años de correismo, no solo robaron y destruyeron al país, cambiaron los valores de manera que la delincuencia es bien vista y justificada;29;187;0;2;1;1.50;0.00;4.00;1.00;4.50;0.00;0.00;0.00;1;0;0;3;4;10;2
43;Las torceduras de este país que llaman a lo bueno malo y a lo malo;15;66;0;1;0;0.00;0.00;4.00;0.00;0.00;0.00;0.00;0.00;0;0;0;3;4;10;2
44;@revistavistazo Las terribles consecuencias de 14 años de correismo, no solo robaron y destruyeron al país, cambiaron los valores de manera que la delincuencia es bien vista y justificada;29;187;0;1;0;3.00;0.00;4.00;2.00;0.00;0.00;0.00;0.00;1;0;0;3;4;10;2
45;@SalvadorQuishpe @CJudicaturaEc @SNAI_Ec Glass es inocente.. no tienen nada en contra. Lávate la trompa antes de mezclar a Jorge con la Delincuencia Común;23;154;1;2;1;0.50;0.00;5.00;0.00;0.50;0.00;0.00;0.00;3;0;0;3;2;14;4
46;@SalvadorQuishpe @CJudicaturaEc @SNAI_Ec Glass es inocente.. no tienen nada en contra. Lávate la trompa antes de mezclar a Jorge con la Delincuencia Común;23;154;1;3;0;0.33;0.00;4.33;1.00;0.67;0.00;2.67;6.00;3;0;0;3;2;14;4
47;no tienen nada en contra;5;24;0;2;1;0.50;0.00;4.00;0.50;0.50;0.00;2.00;0.50;0;0;0;3;2;14;4
48;@SalvadorQuishpe @CJudicaturaEc @SNAI_Ec Glass es inocente;6;58;0;2;1;1.00;0.00;5.00;0.50;2.00;0.00;0.00;0.50;3;0;0;3;2;14;4
49;Lávate la trompa antes de mezclar a Jorge con la Delincuencia Común;12;67;0;2;1;0.50;0.00;4.50;0.00;0.50;0.00;0.50;0.00;0;0;0;3;2;14;4
50;no tienen nada en contra;5;24;0;2;0;0.50;0.00;4.00;0.00;0.50;0.00;2.00;0.00;0;0;0;3;2;14;4
51;@SalvadorQuishpe @CJudicaturaEc @SNAI_Ec Glass es inocente;6;58;0;2;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;3;0;0;3;2;14;4
52;Lávate la trompa antes de mezclar a Jorge con la Delincuencia Común;12;67;0;2;0;0.50;0.00;4.00;0.00;0.50;0.00;2.00;0.00;0;0;0;3;2;14;4
53;@KerazoPenta @aguadequito Es el colmo, vamos de mal en peor, Quito abandonado, los servicios básicos caros y mal administrados, las vías en estado deplorable, la delincuencia en aumento. Por eso debemos elegir bien o las mafias acabarán con la ciudad.;40;251;1;2;1;4.00;0.00;4.00;3.00;2.00;0.00;2.00;0.00;2;0;0;0;0;0;3
54;@KerazoPenta @aguadequito Es el colmo, vamos de mal en peor, Quito abandonado, los servicios básicos caros y mal administrados, las vías en estado deplorable, la delincuencia en aumento. Por eso debemos elegir bien o las mafias acabarán con la ciudad.;40;251;1;3;0;3.00;0.67;3.67;3.67;8.00;0.67;2.67;4.67;2;0;0;0;0;0;3
55;Por eso debemos elegir bien o las mafias acabarán con la ciudad;12;63;0;2;1;2.00;0.00;4.00;1.00;3.00;0.00;2.00;2.00;0;0;0;0;0;0;3
56;@KerazoPenta @aguadequito Es el colmo, vamos de mal en peor, Quito abandonado, los servicios básicos caros y mal administrados, las vías en estado deplorable, la delincuencia en aumento;28;185;0;2;1;4.00;0.00;3.00;1.00;2.00;0.00;0.00;2.00;2;0;0;0;0;0;3
57;Por eso debemos elegir bien o las mafias acabarán con la ciudad;12;63;0;2;0;0.00;0.00;5.00;2.00;0.00;0.00;0.00;2.00;0;0;0;0;0;0;3
58;@KerazoPenta @aguadequito Es el colmo, vamos de mal en peor, Quito abandonado, los servicios básicos caros y mal administrados, las vías en estado deplorable, la delincuencia en aumento;28;185;0;2;0;2.00;0.50;3.50;3.00;2.00;0.50;4.50;2.00;2;0;0;0;0;0;3
59;@joffrecampana @LassoGuillermo Los disque revolucionarios socialistas del Siglo XXI y disque progresistas pensaron eternizarse, se equivocaron ahora deben devolver recursos del pueblo. Llamar la atención a jueces corruptos que se alinean en delincuencia o;34;255;1;2;1;3.00;0.00;4.00;2.00;0.00;0.00;0.00;0.00;2;0;0;1;1;0;3
60;@joffrecampana @LassoGuillermo Los disque revolucionarios socialistas del Siglo XXI y disque progresistas pensaron eternizarse, se equivocaron ahora deben devolver recursos del pueblo. Llamar la atención a jueces corruptos que se alinean en delincuencia o;34;255;1;3;0;0.00;1.33;3.67;1.67;0.00;2.67;10.67;8.67;2;0;0;1;1;0;3
61;Llamar la atención a jueces corruptos que se alinean en delincuencia o;12;70;0;2;1;1.50;0.00;3.50;1.00;4.50;0.00;0.50;2.00;0;0;0;1;1;0;3
62;@joffrecampana @LassoGuillermo Los disque revolucionarios socialistas del Siglo XXI y disque progresistas pensaron eternizarse, se equivocaron ahora deben devolver recursos del pueblo;22;183;0;2;1;3.00;0.00;3.00;1.00;0.00;0.00;2.00;2.00;2;0;0;1;1;0;3
63;Llamar la atención a jueces corruptos que se alinean en delincuencia o;12;70;0;3;0;0.33;0.00;4.00;1.00;0.67;0.00;2.00;6.00;0;0;0;1;1;0;3
64;@joffrecampana @LassoGuillermo Los disque revolucionarios socialistas del Siglo XXI y disque progresistas pensaron eternizarse, se equivocaron ahora deben devolver recursos del pueblo;22;183;0;2;0;0.00;1.00;2.50;2.00;0.00;0.00;12.50;8.00;2;0;0;1;1;0;3
65;@Expresoec @informarkec Otra batalla ganada por la DELINCUENCIA;8;63;0;3;1;2.33;0.33;1.67;0.00;0.67;0.67;8.67;0.00;2;0;0;0;2;1;3
66;😑 Me pregunto cuáles son los avances de las denuncias por matriculas falsificadas, amenazas a funcionarios de la ANT @FiscaliaEcuador ? @DianaSalazarM2;22;152;0;3;1;0.67;0.00;3.00;0.67;0.67;0.00;14.00;0.67;2;0;0;0;2;1;3
67;@Expresoec @informarkec Otra batalla ganada por la DELINCUENCIA. 😑 Me pregunto cuáles son los avances de las denuncias por matriculas falsificadas, amenazas a funcionarios de la ANT @FiscaliaEcuador ? @DianaSalazarM2;30;217;0;3;1;2.00;0.00;2.67;1.00;0.00;0.00;10.67;2.00;4;0;0;0;2;1;3
68;@Expresoec @informarkec Otra batalla ganada por la DELINCUENCIA;8;63;0;2;0;0.50;0.00;4.50;1.00;0.50;0.00;0.50;2.00;2;0;0;0;2;1;3
69;😑 Me pregunto cuáles son los avances de las denuncias por matriculas falsificadas, amenazas a funcionarios de la ANT @FiscaliaEcuador ? @DianaSalazarM2;22;152;0;2;0;0.00;0.50;3.50;2.00;0.00;0.50;4.50;8.00;2;0;0;0;2;1;3
70;@Expresoec @informarkec Otra batalla ganada por la DELINCUENCIA. 😑 Me pregunto cuáles son los avances de las denuncias por matriculas falsificadas, amenazas a funcionarios de la ANT @FiscaliaEcuador ? @DianaSalazarM2;30;217;0;3;0;1.67;0.00;3.67;2.00;16.67;0.00;4.67;8.00;4;0;0;0;2;1;3
71;@HijadelSol17 Aplica plenamente para la delincuencia organizada que lidera tu patrón prófugo.;12;93;1;2;1;1.00;0.00;3.00;0.00;0.00;0.00;2.00;0.00;1;0;0;0;0;0;2
72;@HijadelSol17 Aplica plenamente para la delincuencia organizada que lidera tu patrón prófugo.;12;93;1;3;0;2.00;0.00;4.33;1.33;14.00;0.00;0.67;4.67;1;0;0;0;0;0;2
73;@HijadelSol17 Aplica plenamente para la delincuencia organizada que lidera tu patrón prófugo;12;92;0;2;1;0.50;0.00;3.50;0.00;0.50;0.00;0.50;0.00;1;0;0;0;0;0;2
74;@HijadelSol17 Aplica plenamente para la delincuencia organizada que lidera tu patrón prófugo;12;92;0;1;0;3.00;0.00;4.00;0.00;0.00;0.00;0.00;0.00;1;0;0;0;0;0;2
75;@socialholico Perfecto así debe ser contra la delincuencia que se baje a todos los corruptos ladrones del país apoyo;19;116;0;1;1;0.00;0.00;5.00;1.00;0.00;0.00;0.00;0.00;1;0;0;1;0;4;2
76;@socialholico Perfecto así debe ser contra la delincuencia que se baje a todos los corruptos ladrones del país apoyo;19;116;0;3;1;0.33;0.00;4.00;0.00;0.67;0.00;6.00;0.00;1;0;0;1;0;4;2
77;@socialholico Perfecto así debe ser contra la delincuencia que se baje a todos los corruptos ladrones del país apoyo;19;116;0;1;0;0.00;0.00;5.00;0.00;0.00;0.00;0.00;0.00;1;0;0;1;0;4;2
78;Cómo trabaja;2;12;0;1;0;0.00;0.00;5.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;6;2
79;@LassoGuillermo Uy si;3;21;0;1;0;0.00;0.00;5.00;0.00;0.00;0.00;0.00;0.00;1;0;0;0;0;6;2
80;Cómo trabaja;2;12;0;2;1;0.00;0.00;3.00;0.00;0.00;0.00;8.00;0.00;0;0;0;0;0;6;2
81;@LassoGuillermo Uy si;3;21;0;2;1;0.00;0.00;3.00;0.00;0.00;0.00;8.00;0.00;1;0;0;0;0;6;2
82;Pero para la Delincuencia Organizada https://t;6;46;0;2;1;0.00;0.00;3.00;0.00;0.00;0.00;8.00;0.00;0;0;1;0;0;6;2
83;@LassoGuillermo Uy si ... Cómo trabaja... Pero para la Delincuencia Organizada https://t.co/skGCIZNq2t;12;102;0;2;1;0.00;0.00;3.50;0.00;0.00;0.00;4.50;0.00;1;0;1;0;0;6;2
84;@LassoGuillermo Uy si ... Cómo trabaja... Pero para la Delincuencia Organizada https://t.co/skGCIZNq2t;12;102;0;1;0;0.00;0.00;5.00;0.00;0.00;0.00;0.00;0.00;1;0;1;0;0;6;2
85;dale propuestas;2;15;0;1;0;0.00;0.00;5.00;0.00;0.00;0.00;0.00;0.00;0;0;0;1;0;0;3
86;dale propuestas;2;15;0;2;1;0.00;0.00;3.50;0.00;0.00;0.00;4.50;0.00;0;0;0;1;0;0;3
87;a los jóvenes dale educación,salud, trabajo;6;43;0;2;1;0.00;0.00;4.00;0.00;0.00;0.00;2.00;0.00;0;0;0;1;0;0;3
88;@sh2mz1701 @ivonnelago Solo te escuchas y no ves;8;48;0;2;1;0.50;0.00;4.00;0.00;0.50;0.00;2.00;0.00;2;0;0;1;0;0;3
89;y la delincuencia no tiene ejércitos que manipular;8;50;0;2;1;0.00;0.00;4.00;0.00;0.00;0.00;0.00;0.00;0;0;0;1;0;0;3
90;Por que crees que Correa bajo la Delincuencia y la pobreza eso es inmediato la calle me;17;87;0;2;1;1.00;0.00;3.50;0.00;2.00;0.00;4.50;0.00;0;0;0;1;0;0;3
91;@sh2mz1701 @ivonnelago Solo te escuchas y no ves.. a los jóvenes dale educación,salud, trabajo.. dale propuestas.. y la delincuencia no tiene ejércitos que manipular .Por que crees que Correa bajo la Delincuencia y la pobreza eso es inmediato la calle me;41;254;0;2;1;1.00;2.50;4.00;0.00;0.00;12.50;0.00;0.00;2;0;0;1;0;0;3
92;a los jóvenes dale educación,salud, trabajo;6;43;0;1;0;0.00;0.00;5.00;0.00;0.00;0.00;0.00;0.00;0;0;0;1;0;0;3
93;@sh2mz1701 @ivonnelago Solo te escuchas y no ves;8;48;0;1;0;0.00;0.00;5.00;0.00;0.00;0.00;0.00;0.00;2;0;0;1;0;0;3
94;y la delincuencia no tiene ejércitos que manipular;8;50;0;1;0;0.00;0.00;0.00;5.00;0.00;0.00;0.00;0.00;0;0;0;1;0;0;3
95;Por que crees que Correa bajo la Delincuencia y la pobreza eso es inmediato la calle me;17;87;0;1;0;0.00;3.00;5.00;3.00;0.00;0.00;0.00;0.00;0;0;0;1;0;0;3
96;@sh2mz1701 @ivonnelago Solo te escuchas y no ves.. a los jóvenes dale educación,salud, trabajo.. dale propuestas.. y la delincuencia no tiene ejércitos que manipular .Por que crees que Correa bajo la Delincuencia y la pobreza eso es inmediato la calle me;41;254;0;1;0;0.00;5.00;0.00;0.00;0.00;0.00;0.00;0.00;2;0;0;1;0;0;3
97;Delincuencia al 1000% Políticos payasos Meten la mano en la justicia como les da la gana El Metro 🚈 parado Le deben horrores a SOLCA No hay medicación en la salud pública Quito con las calles destrozadas En serio 😟 es difícil guardar esperanzas en este país;47;259;0;1;1;0.00;0.00;5.00;2.00;0.00;0.00;0.00;0.00;0;0;0;0;1;3;1
98;Delincuencia al 1000% Políticos payasos Meten la mano en la justicia como les da la gana El Metro 🚈 parado Le deben horrores a SOLCA No hay medicación en la salud pública Quito con las calles destrozadas En serio 😟 es difícil guardar esperanzas en este país .;48;261;0;1;1;2.00;0.00;5.00;2.00;0.00;0.00;0.00;0.00;0;0;0;0;1;3;1
99;Delincuencia al 1000% Políticos payasos Meten la mano en la justicia como les da la gana El Metro 🚈 parado Le deben horrores a SOLCA No hay medicación en la salud pública Quito con las calles destrozadas En serio 😟 es difícil guardar esperanzas en este país .;48;261;0;1;0;1.00;0.00;5.00;4.00;0.00;0.00;0.00;0.00;0;0;0;0;1;3;1
100;@CarrilloRosero O sea que ahora usted es la nueva @FiscaliaEcuador qué vergüenza, así que combatieran la delincuencia el narcotráfico el sicariato, aunque ese parece su negocio 😡😡😡😡😡😡😡😡😡😡😡😡😡😡;27;205;0;1;1;0.00;0.00;5.00;1.00;0.00;0.00;0.00;0.00;2;0;0;4;24;159;2
101;@CarrilloRosero O sea que ahora usted es la nueva @FiscaliaEcuador qué vergüenza, así que combatieran la delincuencia el narcotráfico el sicariato, aunque ese parece su negocio 😡😡😡😡😡😡😡😡😡😡😡😡😡😡;27;205;0;1;0;0.00;3.00;5.00;0.00;0.00;0.00;0.00;0.00;2;0;0;4;24;159;2
102;@LangelaDigizine @SantinoIsBack Gracias al narcocorrea que defendió a capa y espada a la mafia y la delincuencia;17;112;0;2;1;0.00;0.00;5.00;0.00;0.00;0.00;0.00;0.00;2;0;0;0;0;0;3
103;@LangelaDigizine @SantinoIsBack Gracias al narcocorrea que defendió a capa y espada a la mafia y la delincuencia;17;112;0;1;0;0.00;0.00;0.00;4.00;0.00;0.00;0.00;0.00;2;0;0;0;0;0;3
104;@WilsonMerinoR @ImparablesEc @pabelml @bianquirebeca @EmilioJDom @norrisviajando @HerediaCarla @carlaflarrea @ferguillenp Concuerdo, pero la delincuencia no nos deja disfrutarla, imposible salir con tanta inseguridad. Otra cosa que daña a la ciudad son lo;31;255;1;2;1;0.00;0.00;4.00;0.50;0.00;0.00;2.00;0.50;9;0;0;0;0;1;10
105;@WilsonMerinoR @ImparablesEc @pabelml @bianquirebeca @EmilioJDom @norrisviajando @HerediaCarla @carlaflarrea @ferguillenp Concuerdo, pero la delincuencia no nos deja disfrutarla, imposible salir con tanta inseguridad. Otra cosa que daña a la ciudad son lo;31;255;1;1;0;0.00;0.00;2.00;5.00;0.00;0.00;0.00;0.00;9;0;0;0;0;1;10
106;Otra cosa que daña a la ciudad son lo;9;37;0;2;1;0.00;0.00;4.00;0.00;0.00;0.00;2.00;0.00;0;0;0;0;0;1;10
107;@WilsonMerinoR @ImparablesEc @pabelml @bianquirebeca @EmilioJDom @norrisviajando @HerediaCarla @carlaflarrea @ferguillenp Concuerdo, pero la delincuencia no nos deja disfrutarla, imposible salir con tanta inseguridad;22;216;0;2;1;2.00;0.00;4.00;0.00;8.00;0.00;0.00;0.00;9;0;0;0;0;1;10
108;Otra cosa que daña a la ciudad son lo;9;37;0;1;0;0.00;0.00;2.00;3.00;0.00;0.00;0.00;0.00;0;0;0;0;0;1;10
109;@WilsonMerinoR @ImparablesEc @pabelml @bianquirebeca @EmilioJDom @norrisviajando @HerediaCarla @carlaflarrea @ferguillenp Concuerdo, pero la delincuencia no nos deja disfrutarla, imposible salir con tanta inseguridad;22;216;0;1;0;0.00;0.00;3.00;4.00;0.00;0.00;0.00;0.00;9;0;0;0;0;1;10
110;@OscarParrilli @JorgeGlas @LassoGuillermo Un sentenciado debe cumplir su pena y devolver la plata. Son sinvergüenzas se valen de artimañas para salir a cualquier costo. Un juez corrupto igual que ellos. Seguimos teniendo delincuencia en las calles.;36;248;1;2;1;0.00;0.00;5.00;0.00;0.00;0.00;0.00;0.00;3;0;0;0;0;0;4
111;@OscarParrilli @JorgeGlas @LassoGuillermo Un sentenciado debe cumplir su pena y devolver la plata. Son sinvergüenzas se valen de artimañas para salir a cualquier costo. Un juez corrupto igual que ellos. Seguimos teniendo delincuencia en las calles.;36;248;1;1;0;0.00;0.00;5.00;5.00;0.00;0.00;0.00;0.00;3;0;0;0;0;0;4
112;Un juez corrupto igual que ellos;6;32;0;2;1;0.00;0.00;5.00;2.50;0.00;0.00;0.00;12.50;0;0;0;0;0;0;4
113;Seguimos teniendo delincuencia en las calles;6;44;0;2;1;5.00;0.00;1.50;2.50;0.00;0.00;4.50;12.50;0;0;0;0;0;0;4
114;Son sinvergüenzas se valen de artimañas para salir a cualquier costo;11;68;0;2;1;0.00;0.00;5.00;1.50;0.00;0.00;0.00;4.50;0;0;0;0;0;0;4
115;@OscarParrilli @JorgeGlas @LassoGuillermo Un sentenciado debe cumplir su pena y devolver la plata;13;97;0;2;1;0.50;0.00;4.50;0.50;0.50;0.00;0.50;0.50;3;0;0;0;0;0;4
116;Un juez corrupto igual que ellos;6;32;0;1;0;0.00;0.00;5.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;4
117;Seguimos teniendo delincuencia en las calles;6;44;0;1;0;5.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;4
118;Son sinvergüenzas se valen de artimañas para salir a cualquier costo;11;68;0;1;0;0.00;0.00;5.00;4.00;0.00;0.00;0.00;0.00;0;0;0;0;0;0;4
119;@OscarParrilli @JorgeGlas @LassoGuillermo Un sentenciado debe cumplir su pena y devolver la plata;13;97;0;1;0;0.00;0.00;5.00;0.00;0.00;0.00;0.00;0.00;3;0;0;0;0;0;4
120;@RonnyAleagaS @LassoGuillermo @JorgeGlas @BancadaUNESec Cuando un tipo como este habla de secuestro tan libremente entendemos que la delincuencia quiere apoderarse del país !! Presos todos ustedes deberían estar.;28;212;1;1;1;0.00;0.00;5.00;0.00;0.00;0.00;0.00;0.00;4;0;0;0;1;7;5
